1.1.2,최고책임자의 지정,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.1.2,최고책임자의 지정,개인정보보호법,4,개인정보의 안전한 관리,31,개인정보 보호책임자의 지정,,,,,,,
1.1.2,최고책임자의 지정,정보통신망법,6,정보통신망의 안전성 확보 등,45.3,정보보호 최고책임자의 지정 등,,,,,,,
1.1.2,최고책임자의 지정,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.1.2,최고책임자의 지정,개인정보의 기술적·관리적 보호조치 기준,,,3,내부관리계획의 수립·시행,,,,,,,
1.1.3,조직 구성,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.1.3,조직 구성,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.1.3,조직 구성,개인정보의 기술적·관리적 보호조치 기준,,,3,내부관리계획의 수립·시행,,,,,,,
1.1.5,정책 수립,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.1.5,정책 수립,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.1.5,정책 수립,개인정보의 기술적·관리적 보호조치 기준,,,3,내부관리계획의 수립·시행,,,,,,,
1.2.3,위험 평가,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.2.3,위험 평가,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.3.3,운영현황 관리,개인정보보호법,4,개인정보의 안전한 관리,31,개인정보 보호책임자의 지정,,,,,,,
1.3.3,운영현황 관리,정보통신망법,6,정보통신망의 안전성 확보 등,45.3,정보보호 최고책임자의 지정 등,,,,,,,
1.4.1,법적 요구사항 준수 검토,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.4.1,법적 요구사항 준수 검토,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.4.1,법적 요구사항 준수 검토,개인정보의 기술적·관리적 보호조치 기준,,,3,내부관리계획의 수립·시행,,,,,,,
1.4.2,관리체계 점검,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.4.2,관리체계 점검,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.4.2,관리체계 점검,개인정보의 기술적·관리적 보호조치 기준,,,3,내부관리계획의 수립·시행,,,,,,,
1.4.3,관리체계 개선,개인정보보호법,4,개인정보의 안전한 관리,29,안전조치의무,,,,,,,
1.4.3,관리체계 개선,개인정보의 안전성 확보조치 기준,,,4,내부관리계획의 수립·시행,,,,,,,
1.4.3,관리체계 개선,개인정보의 기술적·관리적 보호조치 기준,,,3,내부관리계획의 수립·시행,,,,,,,
